00-0000	All Occupations	134354250	40690
11-0000	Management occupations	6003930	96150
11-1011	Chief executives	299160	151370
11-1021	General and operations managers	1655410	103780
11-1031	Legislators	61110	33880
11-2011	Advertising and promotions managers	36300	91100
11-2021	Marketing managers	165240	113400
11-2022	Sales managers	322170	106790
11-2031	Public relations managers	47210	97170
11-3011	Administrative services managers	239360	76370
11-3021	Computer and information systems managers	264990	113880
11-3031	Financial managers	484390	106200
11-3041	Compensation and benefits managers	41780	88400
11-3042	Training and development managers	28170	90300
11-3049	Human resources managers, all other	58100	99810
11-3051	Industrial production managers	152870	87550
11-3061	Purchasing managers	65600	90430
11-3071	Transportation, storage, and distribution managers	92790	81980
11-9011	Farm, ranch, and other agricultural managers	3480	61030
11-9012	Farmers and ranchers	340	42480
11-9021	Construction managers	216120	85830
11-9031	Education administrators, preschool and child care center/program	47980	44430
11-9032	Education administrators, elementary and secondary school	218820	82120
11-9033	Education administrators, postsecondary	101160	85870
11-9039	Education administrators, all other	28640	74230
11-9041	Engineering managers	184410	115610
11-9051	Food service managers	191460	48660
11-9061	Funeral directors	24020	57660
11-9071	Gaming managers	3740	69600
11-9081	Lodging managers	31890	51140
11-9111	Medical and health services managers	242640	84980
11-9121	Natural sciences managers	39370	113170
11-9131	Postmasters and mail superintendents	26500	57850
11-9141	Property, real estate, and community association managers	159660	53530
11-9151	Social and community service managers	112330	59070
11-9199	Managers, all other	356690	91990
13-0000	Business and financial operations occupations	6015500	62410
13-1011	Agents and business managers of artists, performers, and athletes	11680	82730
13-1021	Purchasing agents and buyers, farm products	12930	53980
13-1022	Wholesale and retail buyers, except farm products	132550	53580
13-1023	Purchasing agents, except wholesale, retail, and farm products	281950	56060
13-1031	Claims adjusters, examiners, and investigators	279400	55470
13-1032	Insurance appraisers, auto damage	12150	52020
13-1041	Compliance officers, except agriculture, construction, health and safety, and transportation	231910	52740
13-1051	Cost estimators	219070	58640
13-1061	Emergency management specialists	11610	51470
13-1071	Employment, recruitment, and placement specialists	193620	52710
13-1072	Compensation, benefits, and job analysis specialists	109870	55740
13-1073	Training and development specialists	202820	53040
13-1079	Human resources, training, and labor relations specialists, all other	211770	56740
13-1081	Logisticians	90340	66240
13-1111	Management analysts	499640	80460
13-1121	Meeting and convention planners	45490	47180
13-1199	Business operations specialists, all other	1017640	62140
13-2011	Accountants and auditors	1115010	63180
13-2021	Appraisers and assessors of real estate	66210	52290
13-2031	Budget analysts	62400	66310
13-2041	Credit analysts	70890	62820
13-2051	Financial analysts	228300	81700
13-2052	Personal financial advisors	132460	89220
13-2053	Insurance underwriters	98920	60120
13-2061	Financial examiners	25510	73550
13-2071	Loan counselors	30150	41990
13-2072	Loan officers	356990	62610
13-2081	Tax examiners, collectors, and revenue agents	65750	51510
13-2082	Tax preparers	61890	34890
13-2099	Financial specialists, all other	136570	61760
15-0000	Computer and mathematical occupations	3191360	72190
15-1011	Computer and information scientists, research	28720	100640
15-1021	Computer programmers	394710	72010
