test 1,test.2,test_3,test_4
10/10/10,1:00:00 AM,$30.00,
"Sunday, October 10, 2021",3:00, 1/8,
2010-10-10,9:00 AM,99.00%,
10/10,4:00:00,500,
10/10/10,9:00:00 AM,2.98E+04,
10/10/10,00:00.0,50      ,
10-Oct,988639:00:00,,
10-Oct-10,10/11/12 3:00 AM,,
10-Oct-10,10/11/12 9:00,,
Oct-10,10/10/22 2:00 PM,,
October-10,10/10/21 15:00,,
"October 10, 2010",,,
O,,,
O-10,scattered,,
10/10/2010,,scattered,
10-Oct-2010,,,
,,,
,,,
scattered,,,
,,scattered,
,,,
,,,
,scattered,,
,,,
,,,
,,,
scattered,,,scattered
,,,
,,,
,,,
,,,
,scattered,,
