id,code,description,total_emp,salary
000000,00-0000,All Occupations,134354250,40690
110000,11-0000,Management occupations,6003930,96150
111011,11-1011,Chief executives,299160,151370
111021,11-1021,General and operations managers,1655410,103780
111031,11-1031,Legislators,61110,33880
112011,11-2011,Advertising and promotions managers,36300,91100
112021,11-2021,Marketing managers,165240,113400
112022,11-2022,Sales managers,322170,106790
112031,11-2031,Public relations managers,47210,97170
113011,11-3011,Administrative services managers,239360,76370
113021,11-3021,Computer and information systems managers,264990,113880
113031,11-3031,Financial managers,484390,106200
113041,11-3041,Compensation and benefits managers,41780,88400
113042,11-3042,Training and development managers,28170,90300
113049,11-3049,"Human resources managers, all other",58100,99810
113051,11-3051,Industrial production managers,152870,87550
113061,11-3061,Purchasing managers,65600,90430
113071,11-3071,"Transportation, storage, and distribution managers",92790,81980
119011,11-9011,"Farm, ranch, and other agricultural managers",3480,61030
119012,11-9012,Farmers and ranchers,340,42480
119021,11-9021,Construction managers,216120,85830
119031,11-9031,"Education administrators, preschool and child care center/program",47980,44430
119032,11-9032,"Education administrators, elementary and secondary school",218820,82120
119033,11-9033,"Education administrators, postsecondary",101160,85870
119039,11-9039,"Education administrators, all other",28640,74230
119041,11-9041,Engineering managers,184410,115610
119051,11-9051,Food service managers,191460,48660
119061,11-9061,Funeral directors,24020,57660
119071,11-9071,Gaming managers,3740,69600
119081,11-9081,Lodging managers,31890,51140
119111,11-9111,Medical and health services managers,242640,84980
119121,11-9121,Natural sciences managers,39370,113170
119131,11-9131,Postmasters and mail superintendents,26500,57850
119141,11-9141,"Property, real estate, and community association managers",159660,53530
119151,11-9151,Social and community service managers,112330,59070
119199,11-9199,"Managers, all other",356690,91990
130000,13-0000,Business and financial operations occupations,6015500,62410
131011,13-1011,"Agents and business managers of artists, performers, and athletes",11680,82730
131021,13-1021,"Purchasing agents and buyers, farm products",12930,53980
131022,13-1022,"Wholesale and retail buyers, except farm products",132550,53580
131023,13-1023,"Purchasing agents, except wholesale, retail, and farm products",281950,56060
131031,13-1031,"Claims adjusters, examiners, and investigators",279400,55470
131032,13-1032,"Insurance appraisers, auto damage",12150,52020
131041,13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",231910,52740
131051,13-1051,Cost estimators,219070,58640
131061,13-1061,Emergency management specialists,11610,51470
131071,13-1071,"Employment, recruitment, and placement specialists",193620,52710
131072,13-1072,"Compensation, benefits, and job analysis specialists",109870,55740
131073,13-1073,Training and development specialists,202820,53040
131079,13-1079,"Human resources, training, and labor relations specialists, all other",211770,56740
131081,13-1081,Logisticians,90340,66240
131111,13-1111,Management analysts,499640,80460
131121,13-1121,Meeting and convention planners,45490,47180
131199,13-1199,"Business operations specialists, all other",1017640,62140
132011,13-2011,Accountants and auditors,1115010,63180
132021,13-2021,Appraisers and assessors of real estate,66210,52290
132031,13-2031,Budget analysts,62400,66310
132041,13-2041,Credit analysts,70890,62820
132051,13-2051,Financial analysts,228300,81700
132052,13-2052,Personal financial advisors,132460,89220
132053,13-2053,Insurance underwriters,98920,60120
132061,13-2061,Financial examiners,25510,73550
132071,13-2071,Loan counselors,30150,41990
132072,13-2072,Loan officers,356990,62610
132081,13-2081,"Tax examiners, collectors, and revenue agents",65750,51510
132082,13-2082,Tax preparers,61890,34890
132099,13-2099,"Financial specialists, all other",136570,61760
150000,15-0000,Computer and mathematical occupations,3191360,72190
151011,15-1011,"Computer and information scientists, research",28720,100640
151021,15-1021,Computer programmers,394710,72010
151031,15-1031,"Computer software engineers, applications",495810,85660
151032,15-1032,"Computer software engineers, systems software",349140,90780
151041,15-1041,Computer support specialists,525570,45300
151051,15-1051,Computer systems analysts,464440,75890
151061,15-1061,Database administrators,116340,70260
151071,15-1071,Network and computer systems administrators,309660,67850
151081,15-1081,Network systems and data communications analysts,216050,70760
151099,15-1099,"Computer specialists, all other",182690,72310
152011,15-2011,Actuaries,18030,95420
152021,15-2021,Mathematicians,3160,90930
152031,15-2031,Operations research analysts,58750,71640
152041,15-2041,Statisticians,20270,72150
152091,15-2091,Mathematical technicians,1080,48490
152099,15-2099,"Mathematical scientists, all other",6930,61100
170000,17-0000,Architecture and engineering occupations,2486020,68880
171011,17-1011,"Architects, except landscape and naval",106830,73650
171012,17-1012,Landscape architects,21890,62250
171021,17-1021,Cartographers and photogrammetrists,11460,54480
171022,17-1022,Surveyors,56670,54450
172011,17-2011,Aerospace engineers,85510,92700
172021,17-2021,Agricultural engineers,2480,70460
172031,17-2031,Biomedical engineers,15400,79610
172041,17-2041,Chemical engineers,28780,84240
172051,17-2051,Civil engineers,247370,75230
172061,17-2061,Computer hardware engineers,79330,94270
172071,17-2071,Electrical engineers,148800,82090
172072,17-2072,"Electronics engineers, except computer",133870,85550
172081,17-2081,Environmental engineers,51210,74820
172111,17-2111,"Health and safety engineers, except mining safety engineers and inspectors",24770,70970
172112,17-2112,Industrial engineers,204210,73490
172121,17-2121,Marine engineers and naval architects,6620,78200
172131,17-2131,Materials engineers,21910,78840
172141,17-2141,Mechanical engineers,222330,75130
172151,17-2151,"Mining and geological engineers, including mining safety engineers",7150,79520
172161,17-2161,Nuclear engineers,14300,97130
